👩‍⚖ 1F469 200D 2696 女法官
🧑‍🌾 1F9D1 200D 1F33E 农民
👨‍🌾 1F468 200D 1F33E 农夫
👩‍🌾 1F469 200D 1F33E 农妇
🧑‍🍳 1F9D1 200D 1F373 厨师
👨‍🍳 1F468 200D 1F373 男厨师
👩‍🍳 1F469 200D 1F373 女厨师
🧑‍🔧 1F9D1 200D 1F527 技工
👨‍🔧 1F468 200D 1F527 男技工
👩‍🔧 1F469 200D 1F527 女技工
🧑‍🏭 1F9D1 200D 1F3ED 工人
👨‍🏭 1F468 200D 1F3ED 男工人
👩‍🏭 1F469 200D 1F3ED 女工人
🧑‍💼 1F9D1 200D 1F4BC 白领
👨‍💼 1F468 200D 1F4BC 男白领
👩‍💼 1F469 200D 1F4BC 女白领
🧑‍🔬 1F9D1 200D 1F52C 科学家
👨‍🔬 1F468 200D 1F52C 男科学家
👩‍🔬 1F469 200D 1F52C 女科学家
🧑‍💻 1F9D1 200D 1F4BB 程序员
👨‍💻 1F468 200D 1F4BB 男程序员
👩‍💻 1F469 200D 1F4BB 女程序员
🧑‍🎤 1F9D1 200D 1F3A4 歌手
👨‍🎤 1F468 200D 1F3A4 男歌手
👩‍🎤 1F469 200D 1F3A4 女歌手
🧑‍🎨 1F9D1 200D 1F3A8 艺术家
👨‍🎨 1F468 200D 1F3A8 男艺术家
👩‍🎨 1F469 200D 1F3A8 女艺术家
🧑‍✈ 1F9D1 200D 2708 飞行员
👨‍✈ 1F468 200D 2708 男飞行员
👩‍✈ 1F469 200D 2708 女飞行员
🧑‍🚀 1F9D1 200D 1F680 宇航员
👨‍🚀 1F468 200D 1F680 男宇航员
👩‍🚀 1F469 200D 1F680 女宇航员
🧑‍🚒 1F9D1 200D 1F692 消防员
👨‍🚒 1F468 200D 1F692 男消防员
👩‍🚒 1F469 200D 1F692 女消防员
👮 1F46E 警察
👮‍♂ 1F46E 200D 2642 男警察
👮‍♀ 1F46E 200D 2640 女警察
🕵 1F575 侦探
🕵‍♂ 1F575 200D 2642 男侦探
🕵‍♀ 1F575 200D 2640 女侦探
💂 1F482 卫兵
💂‍♂ 1F482 200D 2642 男卫兵
💂‍♀ 1F482 200D 2640 女卫兵
🥷 1F977 忍者
👷 1F477 建筑工人
👷‍♂ 1F477 200D 2642 男建筑工人
👷‍♀ 1F477 200D 2640 女建筑工人
🤴 1F934 王子
👸 1F478 公主
👳 1F473 戴头巾的人
👳‍♂ 1F473 200D 2642 戴头巾的男人
👳‍♀ 1F473 200D 2640 戴头巾的女人
👲 1F472 戴瓜皮帽的人
🧕 1F9D5 带头饰的女人
🤵 1F935 穿燕尾服的男人
🤵‍♂ 1F935 200D 2642 穿礼服的男人
🤵‍♀ 1F935 200D 2640 穿礼服的女人
👰 1F470 戴头纱的人
👰‍♂ 1F470 200D 2642 戴头纱的男人
👰‍♀ 1F470 200D 2640 戴头纱的女人
🤰 1F930 孕妇
🤱 1F931 母乳喂养
👩‍🍼 1F469 200D 1F37C 哺乳的女人
👨‍🍼 1F468 200D 1F37C 哺乳的男人
🧑‍🍼 1F9D1 200D 1F37C 哺乳的人
👼 1F47C 小天使
🎅 1F385 圣诞老人
🤶 1F936 圣诞奶奶
🧑‍🎄 1F9D1 200D 1F384 圣诞人
🦸 1F9B8 超级英雄
🦸‍♂ 1F9B8 200D 2642 男超级英雄
🦸‍♀ 1F9B8 200D 2640 女超级英雄
🦹 1F9B9 超级大坏蛋
🦹‍♂ 1F9B9 200D 2642 男超级大坏蛋
🦹‍♀ 1F9B9 200D 2640 女超级大坏蛋
🧙 1F9D9 法师
🧙‍♂ 1F9D9 200D 2642 男法师
🧙‍♀ 1F9D9 200D 2640 女法师
🧚 1F9DA 精灵
🧚‍♂ 1F9DA 200D 2642 仙人
🧚‍♀ 1F9DA 200D 2640 仙女
🧛 1F9DB 吸血鬼
🧛‍♂ 1F9DB 200D 2642 男吸血鬼
🧛‍♀ 1F9DB 200D 2640 女吸血鬼
🧜 1F9DC 人鱼
🧜‍♂ 1F9DC 200D 2642 男人鱼
🧜‍♀ 1F9DC 200D 2640 美人鱼
🧝 1F9DD 小精灵
🧝‍♂ 1F9DD 200D 2642 男小精灵
🧝‍♀ 1F9DD 200D 2640 女小精灵
🧞 1F9DE 妖怪
🧞‍♂ 1F9DE 200D 2642 男妖怪
🧞‍♀ 1F9DE 200D 2640 女妖怪
🧟 1F9DF 僵尸
🧟‍♂ 1F9DF 200D 2642 男僵尸
🧟‍♀ 1F9DF 200D 2640 女僵尸
💆 1F486 按摩
💆‍♂ 1F486 200D 2642 男生按摩
💆‍♀ 1F486 200D 2640 女生按摩
💇 1F487 理发
💇‍♂ 1F487 200D 2642 男生理发
💇‍♀ 1F487 200D 2640 女生理发
🚶 1F6B6 行人
🚶‍♂ 1F6B6 200D 2642 男行人
🚶‍♀ 1F6B6 200D 2640 女行人
🧍 1F9CD 站立者
🧍‍♂ 1F9CD 200D 2642 站立的男人
🧍‍♀ 1F9CD 200D 2640 站立的女人
🧎 1F9CE 下跪者
🧎‍♂ 1F9CE 200D 2642 跪下的男人
🧎‍♀ 1F9CE 200D 2640 跪下的女人
